<latex> Definition (13.1.1): The Distance Formula in Three Dimensions </latex>	<latex> $d(P_{1}, P_{2}) = \sqrt{x_{2} - x_{1})^{2} + (y_{2} - y_{1})^{2} + (z_{2} - z_{1})^{2}}$ </latex>
<latex> Definition (13.2.3): Norm of a Vector </latex>	<latex> $$|| \overrightarrow{a} || = \sqrt{a_{1}^{2} + a_{2}^{2} + a_{3}^{2}}$$ </latex>
<latex> Theorem (13.2.4): Properties of the Norm of a Vector </latex>	<latex> $$(1) ||\overrightarrow{a}|| \geq 0 \text{ and } ||\overrightarrow{a}|| = 0 \text{ iff } \overrightarrow{a} = \overrightarrow{0}$$$$(2) ||\alpha \overrightarrow{a}|| = |\alpha| ||\overrightarrow{a}||$$$$(3) ||\overrightarrow{a} + \overrightarrow{b}|| \leq ||\overrightarrow{a}|| + ||\overrightarrow{b}||$$ </latex>
<latex> Theorem (13.2.5): Scalar Multiple of a Vector </latex>	<latex> For $\overrightarrow{a} \neq \overrightarrow{0}$, the vector $\overrightarrow{b} = \alpha \overrightarrow{a}$ is the unique vecotr of length $|a| ||\overrightarrow{a}||$, which has the direction of $\overrightarrow{a}$ if $\alpha > 0$ and the opposite direction if $\alpha < 0$.  </latex>
<latex> Theorem (13.2.6): Parallel Vectors </latex>	<latex> For $\overrightarrow{a} \neq \overrightarrow{0}$, the vectors parallel to $\overrightarrow{a}$ are by defition scalar multiples of $\alpha \overrightarrow{a}$ </latex>
<latex> Definition (13.2.7): Vectors Parallel to $\overrightarrow{0}$ </latex>	<latex> All vectors are said to be parallel to $\overrightarrow{0}$. </latex>
<latex> Theorem (13.2.8): Parallel Linear Combinations  </latex>	<latex> If $\overrightarrow{a}$ and $\overrightarrow{b}$ are both parallel to $\overrightarrow{c}$, then every linear combination of $\alpha \overrightarrow{a} + \beta \overrightarrow{b}$ is also parallel to $\overrightarrow{c}$ </latex>
<latex> Theorem (13.2.9): Unit Vectors </latex>	<latex> For each nonzero vector $\overrightarrow{a}$ ther is a unique unit vector $\overrightarrow{u_{a}}$ which has the direction of $\overrightarrow{a}$. $$\overrightarrow{u_{a}} = \frac{1}{||\overrightarrow{a}||}\overrightarrow{a} = \frac{\overrightarrow{a}}{||\overrightarrow{a}||}$$ </latex>
<latex> Defiition (13.2.10): $\overrightarrow{i}$, $\overrightarrow{j}$ and $\overrightarrow{k}$ </latex>	<latex> If $\overrightarrow{a} = (a_{1}, a_{2}, a_{3})$ then $\overrightarrow{a} = \overrightarrow{i}a_{1} + \overrightarrow{j}a_{2} + \overrightarrow{k}a_{3}$ </latex>
<latex> Definition (13.3.1): The Dot Product </latex>	<latex> For vectors$$\overrightarrow{a} = \overrightarrow{i}a_{1} + \overrightarrow{j}a_{2} + \overrightarrow{k}a_{3} \text{ and } \overrightarrow{b} = \overrightarrow{i}b_{1} + \overrightarrow{j}b_{2} + \overrightarrow{k}b_{3}$$we define the dot product $\overrightarrow{a} \cdot \overrightarrow{b}$ by setting $$\overrightarrow{a} \cdot \overrightarrow{b} = a_{1}b_{1} + a_{2}b_{2} + a_{3}b_{3}$$ </latex>
<latex> Theorem (13.3.2): $\overrightarrow{a} \cdot \overrightarrow{a}$ </latex>	<latex> $$\overrightarrow{a} \cdot \overrightarrow{a} = ||\overrightarrow{a}||^{2}$$ </latex>
<latex> Theorem (13.3.3): Dot Product with the Zero Vector </latex>	<latex> $$\overrightarrow{a} \cdot \overrightarrow{0} = 0 \text{, and } \overrightarrow{0} \cdot \overrightarrow{a} = 0$$ </latex>
<latex> Theroem (13.3.4): Commutativity of the Dot Product </latex>	<latex> $\overrightarrow{a} \cdot \overrightarrow{b} = \overrightarrow{b} \cdot \overrightattow{a}$ </latex>
<latex> Theorem (13.3.5): Scalar Factoring of the Dot Product </latex>	<latex> $\alpha \overrightarrow{a} \cdot \beta \overrightarrow{b} = \alpha \beta (\overrightarrow{a} \cdot \overrightarrow{b})$ </latex>
<latex> Theorem (13.3.6): Distributive Laws of the Dot Product </latex>	<latex> $$\overrightarrow{a} \cdot (\overrightarrow{b} + \overrightarrow{c}) = \overrightarrow{a} \cdot \overrightarrow{b} + \overrightarrow{a} \cdot \overrightarrow{c}$$$$ (\overrightarrow{a} + \overrightarrow{b}) \cdot \overrightarrow{c}) = \overrightarrow{a} \cdot \overrightarrow{c} + \overrightarrow{b} \cdot \overrightarrow{c}$$ </latex>
<latex> Theorem (13.3.7): Geometric Interpretation of the Dot Product and Defition of $\theta$ in Relation to the Dot Product </latex>	<latex> $\overrightarrow{a} \cdot \overrightarrow{b} = ||overrightarrow{a}||||\overrightarrow{b}|| cos \theta$ </latex>
<latex> Theorem (13.3.8): Defition of Perpendicular in Relation to the Dot Product </latex>	<latex> $$\overrightarrow{a} \perp \overrightarrow{b} \text{ iff } \overrightarrow{a} \cdot \overrightarrow{b} = 0$$ </latex>
<latex> Theorem (13.3.9): $cos \theta$ in Relation to Unit Vectors </latex>	<latex> $$cos \theta = \overrightarrow{u_{a}} \cdot \overrightarrow{u_{b}}$$ </latex>
<latex> Theorem (13.3.10): Linear Combinations of Vectors Perpendicular to the Same Vector </latex>	<latex> If $\overrightarrow{a}$ and $\overrightarrow{b}$ are both perpendicular to $\overrightarrow{c}$, then every linear combination of $\alpha \overrightarrow{a} + \beta \overrightarrow{b}$ is also perpendicular to $\overrightarrow{c}$ </latex>
<latex> Theorem (13.3.11): Definition of the Projection </latex>	<latex> $\overrightarrow{\text{proj}_{b}a} = (\overrightarrow{a} \cdot \overrightarrow{u_{b}})\overrightarrow{u_{b}}$$\text{comp}_{\overrightarrow{b}}\overrightarrow{a} = \overrightarrow{a} \cdot \overrightarrow{u_{b}}$ </latex>
<latex> Theorem (13.3.18): Schwarz's Inequality </latex>	<latex> $|\overrightarrow{a} \cdot \overrightarrow{b}| \leq ||\overrightarrow{a}||||\overrightarrow{b}||$ </latex>
<latex> Definition (13.4.1): The Cross Product </latex>	<latex> If $\overrightarrow{a}$ and $\overrightarrow{b}$ are not parallel, then $\overrightarrow{a} \times \overrightarrow{b}$ is the vector with the following properties:$$(1) \overrightarrow{a} \times \overrightarrow{b} \text{ is perpendicular tot eh plane of } \overrightarrow{a} \text{ and } \overrightarrow{b}$$$$(2) \overrightarrow{a}, \overrightarrow{b}, \text{ and } \overrightarrow{a} \times \overrightarrow{b} \text{ form a right handed triple}$$$$|| \overrightarrow{a} \times \overrightarrow{b}|| = ||\overrightarrow{a}||||\overrightarrow{b}|| sin \theta \text{ where } \theta \text{ is the angle between \overrightarrow{a} \text{ and } \overrightarrow{b}$$If $\overrightarrow{a} \text{ and } \overrightarrow{b}$ are parallel then $\overrightarrow{a} \times \overrightarrow{b} = \overrightarrow{0}$ </latex>
<latex> Theorem (13.4.2): Definition of a Right Handed Triple </latex>	<latex> $\overrightarrow{a}, \overrightarrow{b}, \text{ and }\overrightarrow{c}$ form a right-handed triple iff $(\overrightarrow{a} \times \overrightarrow{b}) \cdot \overrightarrow{c} > 0$ </latex>
<latex> Theorem (13.4.3): The Cross Product is Anticommutative </latex>	<latex> $\overrightarrow{b} \times \overrightarrow{a} = -(\overrightarrow{a} \times \overrightarrow{b})$ </latex>
<latex> Theorem (13.4.4): Scalar Factoring with Cross Products </latex>	<latex> $\alpha \overrightarrow{a} \times \beta \overrightarrow{b} = \alpha \beta (\overrightarrow{a} \times \overrightarrow{b})$ </latex>
<latex> Theorem (13.4.5): Distributive Laws with Cross Products </latex>	<latex> $$\overrightarrow{a} \times (\overrightarrow{b} + \overrightarrow{c}) = (\overrightarrow{a} \times \overrightarrow{b}) + (\overrightarrow{a} \times \overrightarrow{c})$$$$(\overrightarrow{a} + \overrightarrow{b}) \times \overrightarrow{c} = (\overrightarrow{a} \times \overrightarrow{c}) + (\overrightarrow{b} \times \overrightarrow{c})$$ </latex>
<latex> Theorem (13.4.7): Distributive Property of Cross Products with Dot Products </latex>	<latex> $(\overrightarrow{a} \times \overrightarrow{b}) \cdot \overrightarrow{c} = (\overrightarrow{c} \times \overrightarrow{a}) \cdot \overrightarrow{b} = (\overrightarrow{b} \times \overrightarrow{c}) \cdot \overrightarrow{a}$ </latex>
<latex> Theorem (13.4.8): Cross Products of the Cartesian Unit Vectors </latex>	<latex> $\overrightarrow{i} \times \overrightarrow{j} = \overrightarrow{k}$$\overrightarrow{j} \times \overrightarrow{k} = \overrightarrow{i}$$\overrightarrow{k} \times \overrightarrow{i} = \overrightarrow{j}$ </latex>
<latex> Theorem (13.4.9): Cross Product Expansion </latex>	<latex> $\overrightarrow{a} \times \overrightarrow{b} = (a_{2}b_{3} - a_{3}b_{2}, a_{1}b_{3} - a_{3}b_{1}, a_{1}b_{2} - a_{2}b_{1})$ </latex>
<latex> Theorem (13.4.9): Cross Product in Matrix/Determinant </latex>	<latex> $$\overrightarrow{a} \times \overrightarrow{b} = \begin{vmatrix}\overrightarrow{i} & \overrightarrow{j} & \overrightarrow{k} \\a_{1} & a_{2} & a_{3} \\b_{1} & b_{2} & b_{3} \end{vmatrix}$$ </latex>
<latex> Theorem (13.4.10): $(\overrightarrow{a} \times \overrightarrow{b}) \cdot \overrightright{c}$ </latex>	<latex> $(\overrightarrow{a} \times \overrightarrow{b}) \cdot \overrightright{c} = \begin{vmatrix}a_{1} & a_{2} & a_{3} \\b_{1} & b_{2} & b_{3} c_{1} & c_{2} & c_{3} \end{vmatrix}$ </latex>
<latex> Theorem (13.4.11): Cross Product with Cross Product </latex>	<latex> $$\overrightarrow{a} \times (\overrightarrow{b} \times \overrightarrow{c}) = (\overrightarrow{a} \cdot \overrightarrow{c})\overrightarrow{b} - (\overrightarrow{a} \cdot \overrightarrow{b})\overrightarrow{c}$$$$(\overrightarrow{a} \times \overrightarrow{b}) \times \overrightarrow{c}) = (\overrightarrow{c} \cdot \overrightarrow{a})\overrightarrow{b} - (\overrightarrow{c} \cdot \overrightarrow{b})\overrightarrow{a}$$ </latex>
<latex> Theorem (13.4.12): Dot Product of Two Cross Products </latex>	<latex> $$(\overrightarrow{a} \times \overrightarrow{b}) \cdot (\overrightarrow{c} \times \overrightarrow{d}) = (\overrightarrow{a} \cdot \overrightarrow{c})(\overrightarrow{b} \cdot \overrightarrow{d}) - (\overrightarrow{a} \cdot \overrightarrow{d})(\overrightarrow{b} \cdot \overrightarrow{c})$$ </latex>
<latex> Defitinion (13.5.1): Parametrization of a Line </latex>	<latex> $$\overrightarrow{r(t)} = \overrightarrow{r_{0}} + t \overrightarrow{d} \text{ for } t \text{ real}$$ </latex>
<latex> Definition (13.5.3): Scalar Parametric Equations </latex>	<latex> $$x(t) = x_{0} + td_{1}$$$$y(t) = y_{0} + td_{2}$$$$z(t) = z_{0} + td_{3}$$ </latex>
<latex> Theorem (13.5.2): Definition Line Through the Point $P(x_{1}, x_{2}, x_{3})$ with the direction $\overrightarrow{d} = (d_{1}, d_{2}, d_{3})$ </latex>	<latex> <!--anki-->$$\overrightarrow{r(t)} = (x_{0} + td_{1})\overrightarrow{i}+ (y_{0} + td_{2})\overrightarrow{j}+ (z_{0} + td_{3})\overrightarrow{k}$$ </latex>
<latex> Theorem (13.5.4): Symmetric Form of Parametric Equations of a Line </latex>	<latex> $$\frac{x-x_{0}}{d_{1}} = \frac{y-y_{0}}{d_{2}} = \frac{z-z_{0}}{d_{3}}$$ </latex>
<latex> Theorem (13.5.6): Distance from a Point to a Line </latex>	<latex> If $P_{0}$ is a point on $l$, a line, and $\overrightarrow{d}$ is the direction vector of ${l}$, then, $$d(P_{1}, l) = \frac{||\overrightarrow{P_{0}P_{1}} \times \overrightarrow{d}||}{||\overrightarrow{d}||}$$ </latex>
<latex> Theorem (13.6.1): Scalar Equation of a Plane </latex>	<latex> If $\overrightarrow{N}$ is the normal vector (perpendicular to all vectors on the plane) and $\overrightarrow{N} = (A, B, C)$ and $\overrightarrow{P_{0}} = (x_{0}, y_{0}, z_{0})$ is a point on the plan then the equation of the plane is given by:$$A(x - x_{0}) + B(y - y_{0}) + c(z - z_{0}) = 0$$ </latex>
<latex> Theorem (13.6.2): Vector Equation for a Plane </latex>	<latex> If $\overrightarrow{N}$ is the normal vector to a plane, and $\overrightarrow{r_{0}}$ is on the plane, then the equation for the plane is given by:$$\overrightarrow{N} \cdot (\overrightarrow{r} - \overrightarrow{r_{0}}) = 0$$ </latex>
<latex> Theorem (13.6.5): Distance from a Point to a Plane </latex>	<latex> If there exists a plane $p : Ax + By + Cz + D = 0$ and a point $P_{0}(x_{0}, y_{0}, z_{0})$ which is not on the plane, then:$$d(P_{0}, p) = \frac{|Ax_{0} + By_{0} + Cz_{0} + D|}{\sqrt{A^{2}+B^{2}+C^{2}}}$$ </latex>
<latex> Definition (14.1.1): Limit of a Vector Function </latex>	<latex> $$\lim_{t \to t_{0}} \overrightarrow{f(t)} = \overrightarrow{L} \text{ provided that } \lim_{t \to t_{0}} ||\overrightarrow{f(t)} - \overrightarrow{L}|| = 0$$ </latex>
<latex> Theorem (14.1.2): Limit of a Vector Function  </latex>	<latex> $$\text{ if } \lim_{t \to t_{0}} \overrightarrow{f(t)} = \overrightarrow{L} \text{ then } \lim_{t \to t_{0}} ||\overrightarrow{f(t)}|| = ||\overrightarrow{L}||$$ </latex>
<latex> Theorem (14.1.3): Limit Rules </latex>	<latex> Let $\overrightarrow{f}$ and $\overrightarrow{g}$ be vector functions and let $u$ be a real-valued function. Suppose that as $t \to \t_{0}$, $$\overrightarrow{f(t)} \to \overrightarrow{L} \text{ and } \overrightarrow{g(t)} \to \overrightarrow{M} \text{ and } u(t) \to A$$Then$$\overrightarrow{f(t)} + \overrightarrow{g(t)} \to \overrightarrow{L} + \overrightarrow{M}$$$$\alpha \overrightarrow{f(t)} + \beta \overrightarrow{g(t)} \to \alpha \overrightarrow{L} + \beta \overrightarrow{M}$$$$u(t)\overrightarrow{f(t)} \to A \overrightarrow{L}$$$$\overrightarrow{f(t)} \cdot \overrightarrow{g(t)} \to \\overrightarrow{L} \cdot \overrightarrow{M}$$$$\overrightarrow{f(t)} \times \overrightarrow{g(t)} \to \\overrightarrow{L} \times \overrightarrow{M}$$ </latex>
<latex> Theorem (14.1.4): Evaluation of a Limit Component by Component </latex>	<latex> $$\lim_{t \to \t_{0} \overrightarrow{f(t)} = \overrightarrow{L} \text{ iff }$$$$\lim_{t \to t_{0}} f_{1}(t) = L_{1} \text{ and } \lim_{t \to t_{0}} f_{2}(t) = L_{2} \text{ and } \lim_{t \to t_{0}} f_{3}(t) = L_{3}$$ </latex>
<latex> Definition (14.1.5): Derivative of a Vector Function </latex>	<latex> The vector function $\overrightarrow{f}$ is said to be differentiable at $t$ provided that $$\lim_{h \to 0} \frac{\overrightarrow{f(t + h)} - \overrightarrow{f(t)}}{h} \text{ exists}$$If this limit exists, it is called the derivative of $\overrightarrow{f}$ at $t$ and is denoted by $\overrightarrow{f'(t)}$. </latex>
<latex> Theorem (14.1.6): The Derivative of Constant Vector Functions </latex>	<latex> Constant Vector Functions have a Derivative of $\overrightarrow{0}$ </latex>
<latex> Theorem (14.1.7): Derivative of Vector Function with Factorable Constant Differentiable Function </latex>	<latex> If $u(t)$ is differentiable, then functions of the form$$\overrightarrow{f(t)} = u(t)\overrightarrow{c}$$ have the derivative$$\overrightarrow{f'(t)} = u'(t)\overrightarrow{c}$$ </latex>
<latex> Theorem (14.1.8): Integration of Vector Functions Component by Component </latex>	<latex> $$\int_{a}^{b} \overrightarrow{f(t)} dt = (\int_{a}^{b} f_{1} dt)\overrightarrow{i} + (\int_{a}^{b} f_{2} dt)\overrightarrow{j} + (\int_{a}^{b} f_{3} dt)\overrightarrow{k}$$ </latex>
<latex> Theorem (14.1.9 to 14.1.12): Properties of the Integral of Vector Functions </latex>	<latex> $$\int_{a}^{b}[\overrightarrow{f(t)} + \overrightarrow{g(t)}] dt = \int_{a}^{b}\overrightarrow{f(t)}dt + \int_{a}^{b}\overrightarrow{g(t)}dt$$$$\int_{a}^{b}[\alpha \overrightarrow{f(t)}]dt = \alpha \int_{a}^{b}\overrightarrow{f(t)}dt \text{ for every scalar constant } \alpha$$$$\int_{a}^{b}[\overrightarrow{c} \cdot \overrightarrow{f(t)}]dt = \overrightarrow{c} \cdot (\int_{a}^{b}\overrightarrow{f(t)}dt) \text{ for every constant vector} \overrightarrow{c}$$$$||\int_{a}^{b}\overrightarrow{f(t)}dt|| \leq \int_{a}^{b}||\overrightarrow{f(t)}||dt$$ </latex>
<latex> Theorem (14.2.1): Properties of the Derivative of Vector Functions </latex>	<latex> If $\overrightarrow{f}$, $\overrightarrow{g}$, and $u$ are continuous on a common domain, then$$(1) \overrightarrow{(f+g)'(t)} = \overrightarrow{f'(t)} + \overrightarrow{g'(t)}$$$$(2) (\overrightarrow{(\alpha f)'(t)} = \alpha \overrightarrow{f'(t)} \text{ and } \overrightarrow(uc)'(t) = u'(t)\overrightarrow{c}$$$$(3) \overrightarrow{(uf)'(t)} = u(t)\overrightarrow{f'(t)} + u'(t)\overrightarrow{f(t)}$$$$(4) (\overrightarrow{f} \cdot \overrightarrow{g})'(t) = [\overrightarrow{f(t)} \cdot \overrightarrow{g'(t)}] + [\overrightarrow{f'(t)} \cdot \overrightarrow{g(t)]$$$$(5) (\overrightarrow{f} \times \overrightarrow{g})'(t) = [\overrightarrow{f(t)} \times \overrightarrow{g'(t)}] + [\overrightarrow{f'(t)} \times \overrightarrow{g(t)}]$$$$(6) \overrightarrow{(f \circ u)'(t)} = \overrightarrow{f'(u(t))}u'(t) = u'(t) \overrightarrow{f'(u(t))}$$ </latex>
<latex> Theorem (14.2.3): The Dot Product of a Vector Function and it's Derivative </latex>	<latex> If $\overrightarrow{r}$ is a differentiable vector function of $t$, then the function $r = ||\overrightarrow{r}||$ is differentiable where it is not zero and $$\overrightarrow{r} \cdot \frac{d\overrightarrow{r}}{dt} = r\frac{dr}{dt}$$ </latex>
<latex> Theorem (14.2.4): The Derivative of the Unit Vector Function </latex>	<latex> If $\overrightarrow{r}$ is a differentiable vector function of $t$, then where $r = ||\overrightarrow{r}|| \neq 0$$$\frac{d}{dt}(\frac{\overrightarrow{r}}{r} = \frac{1}{r^{3}}[(\overrightarrow{r} \times \frac{d\overrightarrow{r}}{dt} \times \overrightarrow{r}]$$ </latex>
<latex> Definition (14.3.1): Tangent Vector </latex>	<latex> Let$$ C: \overrightarrow{r(t)} = x(t)\overrightarrow{i} + y(t)\overrightarrow{j} + z(t)\overrightarrow{k}$$be a differentiable curve. The vector $\overrightarrow{r'(t)}$, if not $\overrightarrow{0}$, is said to be tangent to the curve $C$ at the point $P(x(t), y(t), z(t))$ </latex>
<latex> Theorem (14.3.2): The Deriviative of a Curve's Direction in Relation to Increasing $t$.  </latex>	<latex> $\overrightarrow{r'(t)} points in the direction imparted by increasing $t$.  </latex>
<latex> Theorem (14.3.3): Parametrization of a Tangent Line at a Point of a Curve </latex>	<latex> If $\overrightarrow{r'(t_{0})} \neq \overrightarrow{0}$, then $\overrightarrow{r'(t_{0})}$ is tangent to the curve at the tip of $\overrightarrow{r(t_{0})}$. The tangent line at this point can be parametized by setting$$\overrightarrow{R(u)} = \overrightarrow{r(t_{0})} + u \overrightarrow{r'(t_{0})}$$ </latex>
<latex> Theorem (14.3.4): Unit Tangent Vector </latex>	<latex> $$\overrightarrow{T(t)} = \frac{\overrightarrow{r'(t)}}{||\overrightarrow{r'(t)}||}$$ </latex>
<latex> Theorem (14.3.5): Principal Normal Vector </latex>	<latex> $$\overrightarrow{N(t)} = \frac{\overrightarrow{T'(t)}}{||\overrightarrow{T'(t)}||}$$ </latex>
<latex> Definition (14.4.1): Arc Length </latex>	<latex> $$L(C) = { \text{ the least upper bound of the set of all lengths of polygonal paths inscribed in C }}$$ </latex>
<latex> Theorem (14.4.2): Arc Length Formula </latex>	<latex> Let $C$ be the path traced out by a continuously differentiable vector function$$\overrightarrow{r} = \overrightarrow{r(t)}, t\in[a, b]$$The length of $C$ is given by the formula $$L(C) = \int_{a}^{b}||\overrightarrow{r'(t)}||dt$$  </latex>
<latex> Theorem (14.4.3): Parametrization by Arc Length </latex>	<latex> If $$C: \overrightarrow{r} = \overrightarrow{r(t)}, t\in[a, b]$$is continuously differentiable curve of length $L$ with nonzero tangent vector $\overrightarrow{r'(t)}$. The length of $C$ from $\overrightarrow{r(a)}$ to $\overrightarrow{r(t)}$ is $$s(t) = \int_{a}^{t} ||\overrightarrow{r'(u)}|| du$$Since $ds/dt = ||\overrightarrow{r'(t)}|| > 0$, the function $s = s(t)$ is a one-to-one increasing function. Thus, no two points of $C$ can lie at the same arc distance from $\overrightarrow{r(a)}$. It follows that for each $s \in [0, L]$, there is a unique point $\overrightarrow{R(s)}$ on $C$ at arc distance $s$ from $\overrightarrow{r(a)}$Then, the function$$\overrightarrow{R} = \overrightarrow{R(s)}, s\in[0, L]$$parametizes $C$ by arc length.  </latex>
<latex> Theorem (14.4.4): The Length of the Tangent Vector of a Curve Parametrized by Arc Length </latex>	<latex> If a curce is parametrized by arc length, then the tangent vector can change in direction but no in length: the tangent vector maintains a length of $1$.   </latex>
<latex> Theorem (14.4.5): Arc Length Parametrization and Meaning on Length </latex>	<latex> If the curve$$C: \overrightarrow{r} = \overrightarrow{r(t)}, t\in[0, b]$$ has tangent vector of constant length 1, then the parametrization is by arc lenfth and the length of the curve is $b$.  </latex>
<latex> Definition (14.5.1): Velocity and Acceleration </latex>	<latex> $\overrightarrow{r'(t)} = \overrightarrow{v(t)}$ and $\overrightarrow{r''(t)} = \overrightarrow{v'(t)} = \overrightarrow{a(t)}$ </latex>
<latex> Definition (14.5.2): Speed </latex>	<latex> $$||\overrightarrow{v(t)}|| = \text{ the speed at time } t$$ </latex>
<latex> Theorem (14.5.3): Curviture of a Curve </latex>	<latex> For a unit speed curve, the curviture at $\overrightarrow{R(s)} is $$\kappa = ||\overrightarrow{T'(s)}||$$where $\overrightarrow{T(s)}$ is the tangent vector of the curve.  </latex>
<latex> 1. Vector Spaces and The Axioms of Vector Space </latex>	<latex> A vector space is a collection of objects, called vectors, along wih two operations, addition of vectors and multiplication by a scalar such that the following properties hold:$$\text{1. Commutativity: } \overrightarrow{v} + \overrightarrow{w} = \overrightarrow{w} + \overrightarrow{v} \text{ for all } \overrightarrow{v}, \overrightarrow{w} \in V$$$$\text{2. Associativity: } (\overrightarrow{u} + \overrightarrow{v}) + \overrightarrow{w} = \overrightarrow{u} + (\overrightarrow{v} + \overrightarrow{w}) \text{ for all } \overrightarrow{u}, \overrightarrow{v}, \overrightarrow{w} \in V$$$$\text{3. Zero Vector: there exists a special vector, denoted by } \overrightarrow{0} \text{ such that } \overrightarrow{v} + \overrightarrow{0} = \overrightarrow{v} \text{ for all } \overrightarrow{v} \in V$$$$\text{4. Additive Inverse: For every vector } \overrightarrow{v} \in V \text{ there exists a vector } \overrightarrow{w} \in V \text{ such that } \overrightarrow{v} + \overrightarrow{w} = \overrightarrow{0}. \text{ Such additive inverse is usually denoted as } -\overrightarrow{v}$$$$\text{5. Multiplicative Identity: } 1\overrightarrow{v} = \overrightarrow{v} \text{ for all } \overrightarrow{v} \in V$$$$\text{6. Multiplicative Associativity: } (\alpha \beta)\overrightarrow{v} = \alpha (\beta \overrightarrow{v}) \text{ for all } \overrightarrow{v} \in V \text{ and all scalars } \alpha, \beta$$$$\text{7. } \alpha(\overrightarrow{u} + \overrightarrow{v}) = \alpha \overrightarrow{u} + \alpha \overrightarrow{v} \text{ for all } \overrightarrow{u}, \overrightarrow{v} \in V \text{ and all scalars } \alpha$$$$\text{8. } (\alpha + \beta) \overrightarrow{v} = \alpha \overrightarrow{v} + \beta \overrightarrow{v} \text{ for all } \overrightarrow{v} \in V \text{ and all scalars } \alpha, \beta$$ </latex>
<latex> 1.2 Matrix Notation </latex>	<latex> An $m \times n$ matrix is a rectangular array with $m$ rows and $n$ columns. Elements of the array are called entries of the matrix. A general way to write an $m \times n$ matrix is:$$A = (a_{j, k})^{m}_{j=1},^{n}_{k=1} = \begin{vmatrix}a_{1,1} & a_{1,2} & \cdots & a_{1,n} \\a_{2,1} & a_{2,2} & \cdots & a_{2,n} \\\vdots & \vdots & & \vdots \\a_{m,1} & a_{m, 2} & \cdots & a_{m,n}\end{vmatrix}$$ </latex>
<latex> 1.2 Transpose Matrix </latex>	<latex> Given a matrix $A$, its transpose $A^{T}$, is defined by transforming the rows of $A$ into the columns. $$(A^{T})_{j,k} = (A)_{k,j}$$meaning that the entry of $A^{T}$ in the row number $j$ and the column number $k$ equals the entry of $A$ in the row number $k$ and the column number $j$.  </latex>
<latex> 1.2.1: Definition: Basis </latex>	<latex> A system of vectors $\overrightarrow{v_{1}}$, $\overrightarrow{v_{2}}$, ..., $\overrightarrow{v_{p}} \in V$ is called a basis if any vector $\overrightarrow{v} \in V$ admits a unique representation as a linear combination of the vectors in this system. $$\overrightarrow{v} = \alpha_{1} \overrightarrow{v_{1}} + \alpha_{2} \overrightarrow{v_{2}} + ... + \alpha_{n} \overrightarrow{v_{n}} = \sum_{k=1}^{n}\alpha_{k} \overrightarrow{v_{k}}$$ </latex>
<latex> 1.2.4: Remark: Operating on Basis Vector's Coefficients as Column Vectors </latex>	<latex> If $\overrightarrow{v} = \sum_{k=1}^{n}\alpha_{k} \overrightarrow{v_{k}}$ and $\overrightarrow{w} = \sum_{k=1}^{n} \beta_{kl} \overrightarrow{v_{k}}$, then$$\overrightarrow{v} + \overrightarrow{w} = \sum_{k=1}^{n} \alpha_{k} \overrightarrow{v_{k}} + \sum_{k=1}^{n} \beta_{k} \overrightarrow{v_{k}} = \sum_{k=1}^{n} (\alpha_{k} + \beta_{k}) \overrightarrow{v_{k}}$$ </latex>
<latex> 1.2.5: Definition: Generating System </latex>	<latex> A system of vectors $\overrightarrow{v_{1}}, \overrightarrow{v_{2}}, ..., \overrightarrow{v_{p}} \in V$ is called a generating system (also a spanning system, or complete system) in $V$ if any vector $\overrightarrow{v} \in V$ admits representation as a linear combinastion of the components of the system. The only difference from the definition of a basis is that we do not assume that the representation is unique. $$\overrightarrow{v} = \alpha_{1} \overrightarrow{v_{1}} + \alpha_{2} \overrightarrow{v_{2}} + ... + \alpha_{p} \overrightarrow{v_{p}} = \sum_{k=1}^{p}\alpha_{k} \overrightarrow{v_{k}}$$ </latex>
<latex> 1.2: Definition: Trivial Linear Combination </latex>	<latex> A linear combination $\alpha_{1} \overrightarrow{v_{1}} + \alpha_{2} \overrightarrow{v_{2}} + ... + \alpha_{p} \overrightarrow{v_{p}} = \sum_{k=1}^{p}\alpha_{k} \overrightarrow{v_{k}}$ is called trvial if $\alpha_{k} = 0$ for all $k$. A trivial linear combination is always equal to $\overrightarrow{0}$.  </latex>
<latex> 1.2: Definition: Linearly Independent </latex>	<latex> A system of vectors $\alpha_{1} \overrightarrow{v_{1}}, \alpha_{2} \overrightarrow{v_{2}}, ..., \alpha_{p} \overrightarrow{v_{p}} \in V$ is called linearly independent if the only trivial linear combination of vectors in the system is eqaul to $\overrightarrow{0}$. In other words$$x_{1}\overrightarrow{1} + x_{2}\overrightarrow{2} + ... + x_{p}\overrightarrow{p} = \overrightarrow{0} \text{ has the only trivial solution } x_{1} = x_{2} = ... = x_{p} = 0$$ </latex>
<latex> 1.2: Definition: Linearly Dependent </latex>	<latex> A system of vectors $\alpha_{1} \overrightarrow{v_{1}}, \alpha_{2} \overrightarrow{v_{2}}, ..., \alpha_{p} \overrightarrow{v_{p}} \in V$ is called linearly dependent if $\overrightarrow{0}$ can be represented as a nontrivial linear combination, meaning that at least one of the coefficients, $\alpha_{k}$ is non-zero. In other words$$x_{1}\overrightarrow{1} + x_{2}\overrightarrow{2} + ... + x_{p}\overrightarrow{p} = \overrightarrow{0} \text{ has at least one non trivial solution, so} \sum_{k=1}^{p} |x_{k}| \neq 0$$ </latex>
